Date,oil GARCHNet | qlike,oil GARCHNet | mse_var,StaticGARCH | qlike,StaticGARCH | mse_var,GJRGARCH | qlike,GJRGARCH | mse_var,EGARCH | qlike,EGARCH | mse_var,EWMA | qlike,EWMA | mse_var
2026-02-13,-7.3605670794671285,1.5330078843883136e-07,-7.345030753877252,1.6143839793799788e-07,-7.2891892202872395,1.935107536221298e-07,-7.2728012447104105,2.0381740236810697e-07,-7.420296079368779,1.2490820837493933e-07
2026-02-17,-6.666343894277971,3.985016326695736e-11,-6.666414471081389,8.12450315205597e-12,-6.663824671189508,1.2615396617380422e-09,-6.664782693450992,7.822147359565166e-10,-6.664512446960201,7.763872157948403e-10
2026-02-18,-5.381767073609686,3.5574493743887254e-07,-5.311771189599808,3.8284036349397077e-07,-5.435056675685894,3.3311536454380227e-07,-5.464391041654102,3.1980269649676664e-07,-5.277252836178217,3.952507594113205e-07
2026-02-19,-6.884481549701767,4.7370002009378674e-08,-6.854791801144021,6.718670476401272e-08,-6.91443297932631,3.021510548613312e-08,-6.918530998086622,2.8085378799926584e-08,-6.914080831665739,3.040054749581786e-08
2026-02-20,-7.336406900832103,1.9397499384808056e-07,-7.288395198488834,2.2378845274913255e-07,-7.4308343753875175,1.4470495750289892e-07,-7.436257352797267,1.4221369842593522e-07,-7.394531073051764,1.6228851857485006e-07
2026-02-23,-7.006594985184122,4.2805132374602896e-08,-6.996305864292463,4.813977673291507e-08,-7.057610065199676,2.0142509578512908e-08,-7.068563395654226,1.6083896437062152e-08,-7.030507131251429,3.140702436601674e-08
2026-02-24,-7.217779371549863,6.715831211513255e-08,-7.223206654074146,6.479504450041839e-08,-7.2998981283996125,3.611562540989077e-08,-7.325612638067491,2.8333080584842844e-08,-7.246154559737447,5.53083555117222e-08
2026-02-25,-7.308155071677818,6.907280775782252e-08,-7.3269842447365905,6.185106080455628e-08,-7.393413375831885,3.989483900601754e-08,-7.39404196439361,3.971171578024711e-08,-7.334954469111802,5.8932649083130784e-08
2026-02-26,-5.812457149333316,1.6358603679502557e-07,-5.744066728718946,1.8589885024553476e-07,-5.613932474197258,2.2158756458435481e-07,-5.612391265204899,2.2196760298443472e-07,-5.76922375996274,1.7802985122958391e-07
2026-02-27,-5.9884923528866825,1.1246693034337131e-07,-5.8948161849444185,1.3859229513114774e-07,-5.788269056547044,1.631318788083346e-07,-5.7877695159851825,1.632367965525167e-07,-5.951770240024613,1.2333086160928108e-07
2026-03-02,-1.5714010983000284,4.75137384394333e-06,-1.3455848693754966,4.827233605183427e-06,-0.12797256091104625,5.148684854793683e-06,-0.0818248033718385,5.158626752083057e-06,-1.3063045001885838,4.839793573882411e-06
2026-03-03,-1.5504620016745365,9.680283945092332e-06,-2.193270649775844,9.052325541225374e-06,0.5143437042268486,1.0906502313261756e-05,1.809969319568121,1.1368832431256006e-05,-1.110054852134125,1.0020994928984415e-05
2026-03-04,-5.879661689745078,4.831486943654328e-08,-5.907406464251534,1.0673852552699005e-08,-5.622996521637766,2.3893276722986893e-07,-5.41018108706016,3.289502114228248e-07,-5.833960762823998,9.636208801632348e-08
2026-03-05,-2.976565348876667,5.372301362113305e-06,-3.3312974739474597,4.97387613567238e-06,-1.1032758580274376,6.581181518483693e-06,0.24808796619964912,7.041861349719565e-06,-2.6434486357562115,5.674984383982182e-06
2026-03-06,2.210547529523608,8.30529216296367e-05,0.7115045004717091,7.82364142332469e-05,7.402365061498308,9.130490522248614e-05,13.875167028886075,9.561024799986672e-05,3.331539001144618,8.561465432577036e-05
2026-03-09,18.19447820442543,0.002664979393347084,14.412546858957022,0.0026206611950419364,38.46185843039014,0.002771718559143531,73.30379208938649,0.0028271048945409773,24.68541530923242,0.002714829792815348
2026-03-10,-0.9597040634333167,8.097279293104442e-05,-1.5606306030732133,7.445913656542593e-05,2.9789809989772023,0.00010014121177286971,9.298475251648782,0.00010980575915050516,0.07500941612905088,8.867919497881857e-05
2026-03-11,-4.924124980574545,8.055419148576383e-07,-4.88454630901874,1.897426091402102e-06,-4.927845086016053,7.175096520404018e-07,-4.932918474133383,3.0597501427354814e-07,-4.964792765995951,1.337833754382894e-09
2026-03-12,-4.780280234460749,4.692813635167895e-08,-4.767172454845598,3.717664670853904e-07,-4.782392517099577,2.816688885907651e-09,-4.637791139691773,1.4415821824333504e-06,-4.7646999396500895,2.657596372724199e-07
2026-03-13,-5.026318730591943,2.821559280918428e-06,-4.979437506612402,4.29824524133322e-06,-5.095423413163912,1.1519263683419282e-06,-5.16797621503957,2.063891020001766e-08,-5.11991810709321,6.971599212124009e-07
2026-03-16,-4.676963862107872,1.0490227718858482e-09,-4.672427418118766,1.2232640716431563e-07,-4.6602463114734975,3.1062576280394613e-07,-4.402681352296526,2.73345362800759e-06,-4.655750953407052,3.828875555759528e-07
2026-03-17,-5.448032550024198,6.5045405690976775e-06,-5.388513526818909,7.970375766806326e-06,-5.53523053157434,4.735056150796363e-06,-5.774006512517897,1.6320587282883722e-06,-5.580624160932584,3.968062221382639e-06
2026-03-18,-4.847881186759913,6.243077733958642e-08,-4.842033268662906,1.8386805517562974e-07,-4.849550763239383,2.6131587818281535e-08,-4.750925295769147,9.613619983260363e-07,-4.849064752659366,3.323901360166807e-08
2026-03-19,-4.848295362854509,6.6838929764062235e-09,-4.848633033022532,1.3519414859754501e-09,-4.833012568411929,2.0790124209837613e-07,-4.647936175546396,1.5829492075853622e-06,-4.839900771261595,1.2336219038909442e-07
