Date,nat_gas GARCHNet | qlike,nat_gas GARCHNet | mse_var,StaticGARCH | qlike,StaticGARCH | mse_var,GJRGARCH | qlike,GJRGARCH | mse_var,EGARCH | qlike,EGARCH | mse_var,EWMA | qlike,EWMA | mse_var
2025-09-26,-5.835490245748183,1.083805944845713e-08,-5.736656501322707,1.367012820442953e-07,-5.762269052651355,1.1032323309438701e-07,-5.758105703396113,1.1480452256690151e-07,-5.700989530557906,1.6946546665695543e-07
2025-09-29,-5.946877545675057,5.145527731139539e-10,-5.889043607460121,7.026158400502208e-08,-5.909849586344597,4.884979813190412e-08,-5.916327014584478,4.1587238870180965e-08,-5.861047974755396,9.564278089387658e-08
2025-09-30,-6.190221709102783,1.5827034322499565e-06,-6.089178216513487,2.1960043802067286e-06,-6.195293870751603,1.5559043361812806e-06,-6.3827456893225225,7.815114836423854e-07,-6.102663010317481,2.1047972105954442e-06
2025-10-01,-5.932915200553308,8.818081323662437e-08,-5.811540085990485,6.412805106822101e-07,-5.8685957603074455,3.3631356049844567e-07,-5.9458289644845586,5.071344905433815e-08,-5.817210591794434,6.072476893565155e-07
2025-10-02,-5.871081406057389,1.4106813645975884e-07,-5.772965052088909,6.361150634030253e-07,-5.83175004119359,3.084359476536347e-07,-5.892677399173956,6.698815154374201e-08,-5.77591778286207,6.173666063774462e-07
2025-10-03,-6.172278480657852,3.176269259280509e-07,-5.999280702227938,1.048242164636435e-06,-6.082628817747967,6.387379412666858e-07,-6.191751410411553,2.6218097914819137e-07,-6.000807418777354,1.0396552355295842e-06
2025-10-06,-5.790325449292459,8.115980392145823e-09,-5.72856716582787,2.7306519786046905e-07,-5.762033425257832,1.1149933157858443e-07,-5.789204404961919,1.1453667908206356e-08,-5.728056844083051,2.7582778915246247e-07
2025-10-07,-6.017890450665254,5.885836650169184e-08,-5.908619884981538,4.5550700049269435e-07,-5.957587647543707,2.4706495086433704e-07,-6.013044965675094,7.114313704271546e-08,-5.906410634209758,4.661215144440781e-07
2025-10-08,-5.308880113708542,2.799700129606157e-07,-5.387578037516972,1.6044337006241438e-08,-5.3672898271024545,1.0007554964482973e-07,-5.32063762647728,2.481582731923887e-07,-5.388215882572022,1.2953174070394434e-08
2025-10-09,-6.028291695232383,1.8542836494414867e-07,-5.928152928653297,5.929702688175002e-07,-5.969465640165784,4.0141060794418474e-07,-6.009180987987364,2.48550440779431e-07,-5.922637287865294,6.211838405779375e-07
2025-10-10,-5.925376773342053,4.317287588158497e-08,-5.856005751955426,2.989166019567467e-07,-5.883998757383386,1.8081410818961972e-07,-5.906377410804035,1.0069115104512965e-07,-5.8507223189744995,3.2342419062440847e-07
2025-10-13,-6.315073986592407,6.669765293168725e-07,-6.1690645758657,1.2550617251821765e-06,-6.200428921994623,1.1068822720234234e-06,-6.231137269455585,9.741128240539705e-07,-6.157111650862134,1.315066399324882e-06
2025-10-14,-6.422948246401885,5.471185136411243e-07,-6.247281307389885,1.1474782932585275e-06,-6.279728457854231,1.0127475287571273e-06,-6.335626260505107,8.076110983293741e-07,-6.232889541111264,1.2112097686770108e-06
2025-10-15,-6.591883723190091,7.562840135708985e-07,-6.383212832351161,1.4266641189564106e-06,-6.410674474861876,1.3177232107667368e-06,-6.44893321607753,1.177506809914727e-06,-6.364952767820019,1.5031781070372554e-06
2025-10-16,-6.056287629989129,3.501996560191371e-08,-5.982722232841957,2.477009399763587e-07,-5.994744590561348,2.0569272082747575e-07,-6.019866562993792,1.2694514496575652e-07,-5.973655033941787,2.812466855401647e-07
2025-10-17,-6.195774124401905,9.495823190818926e-08,-6.100838114334379,3.525791403100225e-07,-6.111419831906779,3.1757429067234813e-07,-6.131616281711154,2.5526934100584625e-07,-6.089194241157935,3.930193109540689e-07
2025-10-20,-4.026321753036115,3.5660479963918276e-06,-4.372837977285954,2.693807951816893e-06,-4.33274009592116,2.816398347373209e-06,-4.2841078692876025,2.955839579699171e-06,-4.406044900117104,2.586451305035566e-06
