Date,spy GARCHNet | qlike,spy GARCHNet | mse_var,StaticGARCH | qlike,StaticGARCH | mse_var,GJRGARCH | qlike,GJRGARCH | mse_var,EGARCH | qlike,EGARCH | mse_var,EWMA | qlike,EWMA | mse_var
2025-08-07,-8.76176076067412,2.9412813310397394e-10,-8.780783958245658,1.0911029961795594e-10,-8.790422483963235,3.032523045534519e-11,-8.792683039072688,1.1660503153830904e-11,-8.792542941012496,1.4819623415200306e-11
2025-08-08,-9.501394514982065,2.094234411180013e-09,-9.457597513537545,2.421538356050452e-09,-9.509092740059879,2.04043547338302e-09,-9.589640103496016,1.5382708418870775e-09,-9.545390714675893,1.8008571577141243e-09
2025-08-11,-9.46205894250035,1.8067568674232989e-09,-9.411305213576886,2.1843078349978227e-09,-9.492606786397719,1.6037416748832416e-09,-9.620326294011852,9.239845381619893e-10,-9.49575653520344,1.5837806515552446e-09
2025-08-12,-9.271908769961218,2.370636916725912e-10,-9.180422387624237,7.749175816349197e-10,-9.222809375590021,4.952437907426613e-10,-9.265430366740985,2.6720252695187725e-10,-9.234166975185884,4.293808060297436e-10
2025-08-13,-9.623515468580068,1.9034648490884567e-09,-9.494024433014763,2.8035899777769738e-09,-9.651700958365602,1.7428026297694105e-09,-9.838168731237339,9.275501128693595e-10,-9.593507323231892,2.087374492448487e-09
2025-08-14,-9.762878971748982,1.432169737167134e-09,-9.550657322742708,2.671487761890074e-09,-9.709783880576117,1.685039335853589e-09,-9.918280364636892,8.59912307237734e-10,-9.658923129544803,1.9602389875532305e-09
2025-08-15,-9.856043578539353,8.169596300665862e-10,-9.564299616772805,2.2011265708249957e-09,-9.705941132584469,1.3993232413540767e-09,-9.87795878409814,7.50095014835472e-10,-9.675601799107497,1.5476760949898063e-09
2025-08-18,-10.189407085942346,1.0026312198671448e-09,-9.746717626846355,2.770153060283103e-09,-9.898127420658287,1.9714542918638047e-09,-10.036463338673178,1.4357985063961917e-09,-9.888585668602294,2.0145678935870877e-09
2025-08-19,-9.471135972121612,3.940803332603256e-11,-9.322096933984627,6.273885870304519e-10,-9.386364156537441,3.1531977695452013e-10,-9.425213137287558,1.6996624075621698e-10,-9.39181482052972,2.930116677408884e-10
2025-08-20,-9.104684540539218,4.816499276924534e-11,-9.091953398011675,1.468717825426758e-10,-9.111994678043681,4.751963465280896e-11,-9.11284109454584,4.3801668190618253e-11,-9.119529684662176,1.609385494439321e-11
2025-08-21,-9.712779857545334,6.969915544388469e-10,-9.591371376594948,1.2117348523146706e-09,-9.650426645600888,9.378759440133076e-10,-9.602250143648195,1.1576600819125672e-09,-9.710940905575532,7.034477781078906e-10
2025-08-22,-8.445867372594343,3.9861597807728287e-10,-8.39467494893078,6.726990388613069e-10,-8.360010114589041,8.290832315076104e-10,-8.438539382615659,4.4199402192346904e-10,-8.264741963515368,1.1835715000845117e-09
2025-08-25,-9.483711398946282,3.673323478541062e-09,-9.59241990342768,2.778565271192548e-09,-9.852353806924906,1.362113825439944e-09,-9.882040774377742,1.2490189503308764e-09,-9.725062333923837,1.9491780305784782e-09
2025-08-26,-9.479502159280523,2.2805978613931394e-09,-9.515479369660104,2.0225834217115366e-09,-9.709854531389224,9.852097767157176e-10,-9.668623507651615,1.161629362857801e-09,-9.635467073838152,1.3190256824858075e-09
2025-08-27,-9.693232995303795,2.125071359348774e-09,-9.647190667523459,2.4045043661563675e-09,-9.873750307707567,1.2793587232346758e-09,-9.854938113114505,1.351501766256303e-09,-9.791009319623265,1.6225021624262269e-09
2025-08-28,-9.683866900342633,9.039987665662734e-10,-9.552515081387767,1.545871911450547e-09,-9.730279464313803,7.300287751117082e-10,-9.720340919754346,7.652417517385385e-10,-9.678145877071756,9.271757324482121e-10
2025-08-29,-9.673164784142509,3.6084660561131007e-10,-9.494735003116993,1.090700999445533e-09,-9.644281781228814,4.4974082124093953e-10,-9.651213563203193,4.2748823741160417e-10,-9.607549880711076,5.777922815778462e-10
2025-09-02,-9.454243597916594,1.0864938182582942e-10,-9.335500095604429,5.973099025546694e-10,-9.416937869279879,2.303990042480889e-10,-9.38617631740907,3.523302363281487e-10,-9.415632745541394,2.351746715596646e-10
2025-09-03,-9.75019407635379,1.012095897912063e-09,-9.613643382478923,1.6550007992111516e-09,-9.705480690669118,1.1972174625865814e-09,-9.5850471488676,1.8216053064087086e-09,-9.755749077969341,9.906485356692527e-10
2025-09-04,-9.363185187455013,4.638005640769763e-10,-9.33533524722904,6.061498864633343e-10,-9.397085264836283,3.133483090579504e-10,-9.350942106970164,5.242421656107201e-10,-9.417478549023576,2.3444388430987996e-10
2025-09-05,-8.555089779044458,2.7923623355426767e-10,-8.56926422425622,2.0176631056564608e-10,-8.485009713670609,5.878557949529995e-10,-8.492057471680829,5.60794224924245e-10,-8.493049527542997,5.569282367088388e-10
2025-09-08,-9.872655447781653,1.5593758308205527e-09,-9.758937816603286,2.092953322556354e-09,-9.919860682054418,1.3755436103548985e-09,-9.839318674579355,1.7017505668077329e-09,-9.936645247775408,1.3148636752265305e-09
2025-09-09,-9.711022768419067,1.3296181755426425e-09,-9.684734368071172,1.454012898725976e-09,-9.817752499460441,9.049145769470683e-10,-9.757103493344797,1.131275121073842e-09,-9.845077082667443,8.145879244488196e-10
2025-09-10,-9.776515303083439,8.104844159662609e-10,-9.681342175862731,1.1868780579156376e-09,-9.801166060184823,7.286369729324128e-10,-9.750813662391705,9.023178907300408e-10,-9.839565007823794,6.125151637213026e-10
2025-09-11,-9.679680419491516,3.750395743231989e-10,-9.580609736293331,7.247773620329561e-10,-9.673454372938735,3.934331939031411e-10,-9.644871908558274,4.837654747632109e-10,-9.709716175883443,2.9247662195733147e-10
2025-09-12,-9.97432884026642,1.4624208804591737e-09,-9.866712976202217,1.8972367290265954e-09,-10.084946884696363,1.1113061973621948e-09,-10.133269370276084,9.831778805155186e-10,-10.07778977020474,1.131495024272638e-09
2025-09-15,-10.100446885880668,1.3106415156166095e-09,-9.945535567234126,1.8571300751629684e-09,-10.159384430469704,1.145663188998652e-09,-10.173579248114812,1.1089411203153927e-09,-10.179666667240324,1.0935320013299125e-09
2025-09-16,-9.99155936035677,1.188350277561284e-09,-9.886750747176867,1.5663964779356636e-09,-10.101429665134644,8.79243061823629e-10,-10.168950087997667,7.254405962029846e-10,-10.106365491216858,8.67143173513139e-10
2025-09-17,-8.951428616136687,1.139602829069442e-10,-8.988023053997823,7.086256348495047e-12,-8.943138046809672,1.3395955864222842e-10,-8.93709678384029,1.479198650908555e-10,-8.928735563572292,1.6649088193981583e-10
