Date,spy GARCHNet | qlike,spy GARCHNet | mse_var,StaticGARCH | qlike,StaticGARCH | mse_var,GJRGARCH | qlike,GJRGARCH | mse_var,EGARCH | qlike,EGARCH | mse_var,EWMA | qlike,EWMA | mse_var
2026-02-12,-6.935124237697773,1.1850336226977936e-08,-7.05251643604128,1.0875394732687218e-08,-6.979197148534007,1.1500348893329017e-08,-7.168609681064379,9.755075836488543e-09,-6.761137355503026,1.307710898951426e-08
2026-02-13,-8.70119294611061,2.7572876462623313e-10,-8.69523837613543,3.4661007193843206e-10,-8.67099696715522,6.719118381240628e-10,-8.630741257464464,1.337421113980351e-09,-8.72026850092442,7.533520604005506e-11
2026-02-17,-8.620117915481968,1.6528210754406484e-10,-8.628008998387523,7.362048001403647e-11,-8.612608019905812,2.612515287142754e-10,-8.578526955088758,7.869650679368539e-10,-8.63512101205535,1.565583067797437e-12
2026-02-18,-9.081826365665144,2.061446496832026e-09,-9.128370222254283,1.5640456823827415e-09,-9.0674102972975,2.2321208048761703e-09,-8.975663877025616,3.5247731064033732e-09,-9.207648390322667,8.873403674478817e-10
2026-02-19,-9.271982673732268,3.4819611854344092e-09,-9.354059446999145,2.6379796882307865e-09,-9.284007913902947,3.346813805990664e-09,-9.192916418096152,4.48119267379824e-09,-9.46776389853201,1.734799348841005e-09
2026-02-20,-8.8015066722043,3.376714571660301e-10,-8.82307725099439,1.3592232482842813e-10,-8.800380997451843,3.4925546145664395e-10,-8.742425654216348,1.0780951958073463e-09,-8.840819866412897,3.8924998741853694e-12
2026-02-23,-8.549343723225128,1.5189364574307299e-13,-8.544218876339434,4.571122476601799e-11,-8.548714313249425,6.239324745560494e-12,-8.545573311285226,4.325120431360034e-11,-8.5117954176821,2.6989142191425093e-10
2026-02-24,-8.784508119362537,4.215809057949887e-10,-8.806846720085755,1.9563327861860265e-10,-8.776045899148784,5.177407062513517e-10,-8.706910003712371,1.5139488965692279e-09,-8.828703319388238,1.8987311762248465e-11
2026-02-25,-9.354399362084715,4.439988493410116e-09,-9.46441879741752,3.3087713645612846e-09,-9.391822825511378,4.022551539511972e-09,-9.270754590454535,5.512640355633502e-09,-9.594579115744702,2.2970293159469773e-09
2026-02-26,-8.684413370635285,2.1861393042671018e-10,-8.700936081239313,4.6887258308298305e-11,-8.6973696630073,8.069573996562091e-11,-8.686593535472632,1.939232124717392e-10,-8.705364788299399,7.350459091116335e-12
2026-02-27,-9.274735596182882,2.328374653584255e-09,-9.305636452832667,2.0448941964305267e-09,-9.266222577715663,2.411013247535994e-09,-9.154005673833277,3.7060657372490643e-09,-9.407788554400982,1.2735069942235173e-09
2026-03-02,-8.323890491297426,3.1301708422235966e-10,-8.302114650273236,5.059786751600525e-10,-8.325346648845077,2.990301936627828e-10,-8.351895552498101,1.0552600976203845e-12,-8.227714500216639,1.0252255916170074e-09
2026-03-03,-7.66071712644394,4.037984537651323e-09,-7.536226657203203,5.080738443411125e-09,-7.628565186983604,4.332002608666339e-09,-7.820186868521995,2.180729018529695e-09,-7.3046074184073975,6.531683660127886e-09
2026-03-04,-8.94622724662329,7.740288993096689e-10,-8.988983458311816,3.9022412606813553e-10,-8.9421127083937,8.158544529992642e-10,-8.788664141022455,3.0542289762734605e-09,-9.030911542851703,1.0424802694666065e-10
2026-03-05,-8.476046776169152,5.034312495500539e-12,-8.454126006420069,2.005181613115707e-10,-8.470022868744378,6.552433823891789e-11,-8.465183759191948,1.633714805258238e-10,-8.398676010032199,5.621366550132769e-10
2026-03-06,-9.09436529099493,1.5744781941789912e-09,-9.175731335810951,8.52373306050888e-10,-9.117079456569494,1.3497830128937282e-09,-8.911774282359913,4.1712090137151205e-09,-9.248493805397919,3.854851962504081e-10
2026-03-09,-6.312624843992099,2.814508504460345e-08,-6.011625180903139,3.139019498419362e-08,-6.4415143736452425,2.646165979907314e-08,-6.959858365201048,1.639182556142434e-08,-5.5876054297742215,3.4856026717584223e-08
2026-03-10,-8.70205377306621,6.000735538539438e-10,-8.74138898420425,1.3977673400995165e-10,-8.711655431120583,4.740797132907063e-10,-8.606608083367083,2.3118413981717424e-09,-8.756876676272395,5.492954886005687e-12
2026-03-11,-8.991658569330088,1.8867586366462495e-09,-9.08212448059188,9.274094482588477e-10,-9.011460876189233,1.6470803440693724e-09,-8.812060595194659,4.986573223495692e-09,-9.146213534710217,4.408189944230719e-10
2026-03-12,-9.125875233757906,2.4577366414837575e-09,-9.24512113974732,1.2969192603333723e-09,-9.154450120422776,2.13757010184655e-09,-8.896122467146249,6.290023433978473e-09,-9.332290307517225,7.04944633131283e-10
2026-03-13,-8.224237642845104,1.3681398158009011e-10,-8.190290055580189,5.625300994431799e-10,-8.231660572265433,1.885885745162777e-11,-8.190797473213754,1.2086905106981538e-09,-8.134138103400124,1.0965257670745419e-09
